rule_url,title,error
https://resources.allsetlearning.com/chinese/grammar/ASGB8BWA,"Adjectival complement ""de budeliao""","Rule Adjectival complement ""de budeliao"" has no word structures"
https://resources.allsetlearning.com/chinese/grammar/ASGEHTV5,"Expressing ""a bit too""","Rule Expressing ""a bit too"" has no word structures"
https://resources.allsetlearning.com/chinese/grammar/ASG78FDE,"Expressing a last chance with ""zaibu... jiu...""","Rule Expressing a last chance with ""zaibu... jiu..."" has no word structures"
https://resources.allsetlearning.com/chinese/grammar/ASGF00B7,"Expressing ""each other"" with ""huxiang""",'NoneType' object is not subscriptable
https://resources.allsetlearning.com/chinese/grammar/ASGGPG97,"Listing things with ""a""","Rule Listing things with ""a"" has no word structures"
https://resources.allsetlearning.com/chinese/grammar/ASG7AE5C,Defining upper and lower limits,string index out of range
https://resources.allsetlearning.com/chinese/grammar/ASG50341,"Expressing ""including"" with ""zainei""","Rule Expressing ""including"" with ""zainei"" has no word structures"
https://resources.allsetlearning.com/chinese/grammar/ASG8F7D4,"Expressing ""if it were not for"" with ""yaobushi""","Rule Expressing ""if it were not for"" with ""yaobushi"" has no word structures"
https://resources.allsetlearning.com/chinese/grammar/ASGWDWFN,"Making judgments with ""suan""",'NoneType' object is not subscriptable
https://resources.allsetlearning.com/chinese/grammar/ASGYDKT3,"Expressing ""hard to avoid"" with ""nanmian""","Rule Expressing ""hard to avoid"" with ""nanmian"" has no word structures"
https://resources.allsetlearning.com/chinese/grammar/ASG87D22,"Expressing ""especially"" with ""gewai""","Rule Expressing ""especially"" with ""gewai"" has no word structures"
https://resources.allsetlearning.com/chinese/grammar/ASG9E5BB,Advanced degree complements,Rule Advanced degree complements has no word structures
https://resources.allsetlearning.com/chinese/grammar/ASG4OM4T,"Advanced result complements ""zhu"", ""kai"", and ""chulai""","Rule Advanced result complements ""zhu"", ""kai"", and ""chulai"" has no word structures"
https://resources.allsetlearning.com/chinese/grammar/ASGCUSIV,"Tricky uses of ""dao""","Rule Tricky uses of ""dao"" has no word structures"
https://resources.allsetlearning.com/chinese/grammar/ASG25773,"Expressing ""what if"" with ""wanyi""","Rule Expressing ""what if"" with ""wanyi"" has no word structures"
https://resources.allsetlearning.com/chinese/grammar/ASGB449A,"Expressing ""equal to"" with ""dengyu""","Rule Expressing ""equal to"" with ""dengyu"" has no word structures"
https://resources.allsetlearning.com/chinese/grammar/ASGF3F2Y,"Expressing ""would rather"" with ""ningke""","Rule Expressing ""would rather"" with ""ningke"" has no word structures"
https://resources.allsetlearning.com/chinese/grammar/ASGYXI5X,"Providing two options with double ""huozhe""","Rule Providing two options with double ""huozhe"" has no word structures"
